ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,2024-07-23,4.931,4.952,4.792,4.794,2442099.27,1186496.61
510500.SH,2024-07-24,4.788,4.809,4.73,4.737,3252320.22,1550710.345
510500.SH,2024-07-25,4.724,4.783,4.708,4.731,2660302.82,1260269.705
510500.SH,2024-07-26,4.733,4.82,4.732,4.806,2415191.94,1156705.053
510500.SH,2024-07-29,4.801,4.813,4.773,4.776,1469910.55,703462.287
510500.SH,2024-07-30,4.767,4.789,4.718,4.772,2338607.04,1113782.436
510500.SH,2024-07-31,4.772,4.977,4.757,4.975,5569471.16,2729524.972
510500.SH,2024-08-01,4.975,5.012,4.906,4.93,3504122.31,1736710.637
510500.SH,2024-08-02,4.894,4.955,4.854,4.864,2235955.54,1094886.544
510500.SH,2024-08-05,4.84,4.926,4.763,4.77,4152751.19,2006387.779
510500.SH,2024-08-06,4.819,4.852,4.766,4.821,2616120.49,1257819.187
510500.SH,2024-08-07,4.818,4.862,4.788,4.823,2391676.73,1153900.681
510500.SH,2024-08-08,4.811,4.872,4.775,4.833,2327847.71,1123948.107
510500.SH,2024-08-09,4.858,4.884,4.789,4.792,2167099.41,1045691.875
510500.SH,2024-08-12,4.79,4.816,4.767,4.794,2027173.48,971596.688
510500.SH,2024-08-13,4.794,4.809,4.751,4.804,1900884.77,909001.809
510500.SH,2024-08-14,4.806,4.806,4.735,4.737,2162187.2,1028267.91
510500.SH,2024-08-15,4.724,4.826,4.72,4.774,5371350.7,2568201.561
510500.SH,2024-08-16,4.772,4.786,4.74,4.746,7930053.47,3772598.348
510500.SH,2024-08-19,4.741,4.81,4.739,4.754,2759482.25,1318518.497
510500.SH,2024-08-20,4.762,4.762,4.658,4.672,3508602.97,1645311.054
510500.SH,2024-08-21,4.667,4.683,4.657,4.663,1320021.4,616166.15
510500.SH,2024-08-22,4.665,4.673,4.598,4.607,4023252.28,1862544.63
510500.SH,2024-08-23,4.603,4.626,4.59,4.608,1584263.2,729871.103
510500.SH,2024-08-26,4.612,4.635,4.596,4.613,1009723.81,465849.599
510500.SH,2024-08-27,4.597,4.605,4.564,4.567,2339918.49,1071409.551
510500.SH,2024-08-28,4.566,4.605,4.555,4.568,2723424.3,1246905.088
510500.SH,2024-08-29,4.556,4.655,4.548,4.632,4365291.89,2017728.795
510500.SH,2024-08-30,4.628,4.787,4.624,4.712,6989480.05,3302514.338
510500.SH,2024-09-02,4.7,4.709,4.615,4.617,4362036.51,2030627.748
510500.SH,2024-09-03,4.616,4.69,4.615,4.666,2944585.58,1371818.907
510500.SH,2024-09-04,4.64,4.7,4.622,4.654,2212120.81,1031221.663
510500.SH,2024-09-05,4.68,4.708,4.655,4.675,1695282.4,792815.04
510500.SH,2024-09-06,4.69,4.693,4.604,4.611,2268191.57,1052496.941
510500.SH,2024-09-09,4.6,4.62,4.561,4.578,1803373.89,827354.731
510500.SH,2024-09-10,4.587,4.603,4.5,4.576,2775346.23,1261403.388
510500.SH,2024-09-11,4.556,4.604,4.549,4.588,1792621.41,820704.028
510500.SH,2024-09-12,4.596,4.645,4.566,4.57,2424415.88,1114419.442
510500.SH,2024-09-13,4.574,4.583,4.52,4.522,1858175.37,846641.887
510500.SH,2024-09-18,4.527,4.55,4.463,4.537,2100923.52,946728.41
510500.SH,2024-09-19,4.546,4.644,4.506,4.6,4296814.15,1972744.331
510500.SH,2024-09-20,4.585,4.59,4.542,4.568,2651260.32,1210706.857
510500.SH,2024-09-23,4.559,4.623,4.55,4.567,2503894.1,1147856.83
510500.SH,2024-09-24,4.62,4.78,4.579,4.779,8622586.25,4049151.593
510500.SH,2024-09-25,4.85,4.929,4.801,4.813,7069312.16,3436075.305
510500.SH,2024-09-26,4.795,5.067,4.794,5.061,11789569.88,5826198.165
510500.SH,2024-09-27,5.143,5.566,5.105,5.493,6199223.03,3254160.732
510500.SH,2024-09-30,5.789,6.042,5.501,5.995,19862372.64,11428173.744
510500.SH,2024-10-08,6.595,6.595,5.996,6.246,25698267.06,16143442.55
510500.SH,2024-10-09,6.041,6.184,5.771,5.863,13624744.39,8146262.204
510500.SH,2024-10-10,5.87,5.987,5.699,5.789,7292272.27,4265719.72
510500.SH,2024-10-11,5.732,5.752,5.485,5.556,7865974.35,4410523.895
510500.SH,2024-10-14,5.57,5.717,5.491,5.693,7598651.77,4258265.624
510500.SH,2024-10-15,5.655,5.75,5.54,5.551,7531379.68,4249769.953
510500.SH,2024-10-16,5.497,5.644,5.487,5.546,5724794.92,3180013.532
510500.SH,2024-10-17,5.576,5.633,5.5,5.502,6486965.83,3600944.227
510500.SH,2024-10-18,5.505,5.931,5.497,5.737,11392535.53,6508900.658
510500.SH,2024-10-21,5.761,5.891,5.718,5.793,6958180.15,4039396.269
510500.SH,2024-10-22,5.78,5.869,5.759,5.846,4319803.65,2512260.916
510500.SH,2024-10-23,5.846,5.956,5.819,5.869,4872250.36,2869287.064
510500.SH,2024-10-24,5.838,5.852,5.783,5.818,3521886.0,2047595.636
510500.SH,2024-10-25,5.828,5.945,5.821,5.907,3873432.2,2279652.915
510500.SH,2024-10-28,5.9,5.978,5.876,5.975,5321028.9,3164122.317
510500.SH,2024-10-29,5.99,6.013,5.896,5.916,6047603.63,3594788.619
510500.SH,2024-10-30,5.899,5.967,5.866,5.934,6930217.23,4100942.113
510500.SH,2024-10-31,5.926,6.045,5.902,6.0,6242412.97,3733061.867
510500.SH,2024-11-01,5.991,6.027,5.896,5.946,3911259.13,2334815.277
510500.SH,2024-11-04,5.946,6.035,5.942,6.033,2684837.75,1607401.489
510500.SH,2024-11-05,6.034,6.24,6.004,6.216,5750978.5,3534847.123
510500.SH,2024-11-06,6.22,6.307,6.18,6.223,5013235.48,3130969.726
510500.SH,2024-11-07,6.19,6.35,6.17,6.343,4380400.3,2740324.323
510500.SH,2024-11-08,6.401,6.438,6.305,6.326,5623583.22,3581736.098
510500.SH,2024-11-11,6.286,6.435,6.282,6.432,4904753.45,3121900.349
510500.SH,2024-11-12,6.44,6.482,6.309,6.372,4347826.86,2783409.078
510500.SH,2024-11-13,6.334,6.376,6.261,6.353,2816385.96,1780235.956
510500.SH,2024-11-14,6.343,6.343,6.17,6.181,5207918.57,3248174.939
510500.SH,2024-11-15,6.169,6.194,6.019,6.021,7541457.98,4604995.527
510500.SH,2024-11-18,6.03,6.068,5.891,5.931,6454072.81,3866600.959
510500.SH,2024-11-19,5.934,6.029,5.874,6.024,7039410.83,4200800.286
510500.SH,2024-11-20,6.01,6.109,5.99,6.085,5387511.98,3258601.169
510500.SH,2024-11-21,6.074,6.104,6.034,6.08,1893214.2,1149490.7
510500.SH,2024-11-22,6.068,6.074,5.836,5.84,2633178.98,1567370.019
510500.SH,2024-11-25,5.855,5.865,5.757,5.825,2286011.12,1330469.443
510500.SH,2024-11-26,5.81,5.863,5.78,5.785,1899722.12,1105373.414
