ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10008304.SH,南方中证500ETF期权2506认购6.394,C,6.394,20241024,20250625,2024-11-13,SSE,0.3542,0.3568,0.3518,0.3633,0.3221,0.345,0.3429,294.0,99.4858,574.0,2025-06-25,224,0.04100000000000037
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-14,SSE,0.15,0.15,0.1493,0.1493,0.0743,0.0791,0.0791,184523.0,18589.0869,68255.0,2024-11-27,13,0.06899999999999995
10007183.SH,南方中证500ETF期权2412认购6.152,C,6.152,20240425,20241225,2024-11-14,SSE,0.2836,0.2836,0.2803,0.283,0.1905,0.1993,0.1993,3358.0,725.373911,7563.0,2024-12-25,41,0.028999999999999915
10008027.SH,南方中证500ETF期权2503认购6.149,C,6.149,20240930,20250326,2024-11-14,SSE,0.3549,0.3549,0.3692,0.3692,0.28,0.2834,0.2834,1597.0,478.3638,7004.0,2025-03-26,132,0.03200000000000003
10008303.SH,南方中证500ETF期权2506认购6.149,C,6.149,20241024,20250625,2024-11-14,SSE,0.4476,0.441,0.4636,0.4636,0.2352,0.3672,0.3672,387.0,145.9282,1170.0,2025-06-25,223,0.03200000000000003
10007976.SH,南方中证500ETF期权2411认购6.00,C,6.0,20240927,20241127,2024-11-15,SSE,0.2231,0.2231,0.2228,0.2372,0.1147,0.1147,0.1147,131298.0,22813.9454,46626.0,2024-11-27,12,0.020999999999999908
10007321.SH,南方中证500ETF期权2412认购6.00,C,6.0,20240517,20241225,2024-11-15,SSE,0.2832,0.2832,0.2812,0.2959,0.1961,0.202,0.202,9594.0,2299.6288,16381.0,2024-12-25,40,0.020999999999999908
10007694.SH,南方中证500ETF期权2503认购5.903,C,5.903,20240801,20250326,2024-11-15,SSE,0.4059,0.3989,0.4008,0.4017,0.3268,0.3268,0.3268,1350.0,495.8953,9019.0,2025-03-26,131,0.11800000000000033
10008302.SH,南方中证500ETF期权2506认购5.903,C,5.903,20241024,20250625,2024-11-15,SSE,0.4819,0.4754,0.4818,0.4919,0.4117,0.4117,0.4117,359.0,163.6864,1106.0,2025-06-25,222,0.11800000000000033
10007976.SH,南方中证500ETF期权2411认购6.00,C,6.0,20240927,20241127,2024-11-18,SSE,0.1147,0.1147,0.1258,0.1328,0.0582,0.0707,0.0707,240505.0,22744.9063,59189.0,2024-11-27,9,0.06899999999999995
10007182.SH,南方中证500ETF期权2412认购5.906,C,5.906,20240425,20241225,2024-11-18,SSE,0.2514,0.2515,0.2584,0.2675,0.1887,0.2026,0.2026,1201.0,266.578385,4894.0,2024-12-25,37,0.025000000000000355
