ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10007672.SH,易方达上证科创板50ETF期权2503认购0.80,OP588080.SH,ETF期权,C,0.8,20250326,20240725,20250326
10006811.SH,易方达上证科创板50ETF期权2409认沽0.60,OP588080.SH,ETF期权,P,0.6,20240925,20240125,20240925
10007789.SH,易方达上证科创板50ETF期权2410认购0.90,OP588080.SH,ETF期权,C,0.9,20241023,20240829,20241023
10006809.SH,易方达上证科创板50ETF期权2409认购0.95,OP588080.SH,ETF期权,C,0.95,20240925,20240125,20240925
10008251.SH,易方达上证科创板50ETF期权2412认沽1.25,OP588080.SH,ETF期权,P,1.25,20241225,20241009,20241225
10006631.SH,易方达上证科创板50ETF期权2406认购0.55,OP588080.SH,ETF期权,C,0.55,20240626,20240118,20240626
10008338.SH,易方达上证科创板50ETF期权2506认购1.05,OP588080.SH,ETF期权,C,1.05,20250625,20241024,20250625
10008661.SH,易方达上证科创板50ETF期权2502认沽1.20,OP588080.SH,ETF期权,P,1.2,20250226,20241226,20250226
10006804.SH,易方达上证科创板50ETF期权2409认购0.70,OP588080.SH,ETF期权,C,0.7,20240925,20240125,20240925
10007797.SH,易方达上证科创板50ETF期权2410认沽0.85,OP588080.SH,ETF期权,P,0.85,20241023,20240829,20241023
10008890.SH,易方达上证科创板50ETF期权2509认沽1.25,OP588080.SH,ETF期权,P,1.25,20250924,20250207,20250924
10005999.SH,易方达上证科创板50ETF期权2310认沽0.95,OP588080.SH,ETF期权,P,0.95,20231025,20230824,20231025
10008256.SH,易方达上证科创板50ETF期权2503认购1.30,OP588080.SH,ETF期权,C,1.3,20250326,20241009,20250326
10006357.SH,易方达上证科创板50ETF期权2401认沽0.85,OP588080.SH,ETF期权,P,0.85,20240124,20231123,20240124
10008386.SH,易方达上证科创板50ETF期权2506认沽1.30,OP588080.SH,ETF期权,P,1.3,20250625,20241112,20250625
10006348.SH,易方达上证科创板50ETF期权2401认购0.85,OP588080.SH,ETF期权,C,0.85,20240124,20231123,20240124
10008236.SH,易方达上证科创板50ETF期权2410认沽1.30,OP588080.SH,ETF期权,P,1.3,20241023,20241009,20241023
10006000.SH,易方达上证科创板50ETF期权2310认沽1.00,OP588080.SH,ETF期权,P,1.0,20231025,20230824,20231025
10007688.SH,易方达上证科创板50ETF期权2503认沽0.50,OP588080.SH,ETF期权,P,0.5,20250326,20240730,20250326
10007942.SH,易方达上证科创板50ETF期权2411认沽0.50,OP588080.SH,ETF期权,P,0.5,20241127,20240926,20241127
10006999.SH,易方达上证科创板50ETF期权2404认沽0.75,OP588080.SH,ETF期权,P,0.75,20240424,20240229,20240424
10006824.SH,易方达上证科创板50ETF期权2409认沽1.00,OP588080.SH,ETF期权,P,1.0,20240925,20240126,20240925
10006240.SH,易方达上证科创板50ETF期权2406认购0.70,OP588080.SH,ETF期权,C,0.7,20240626,20231026,20240626
10005991.SH,易方达上证科创板50ETF期权2310认购1.00,OP588080.SH,ETF期权,C,1.0,20231025,20230824,20231025
10008252.SH,易方达上证科创板50ETF期权2412认沽1.30,OP588080.SH,ETF期权,P,1.3,20241225,20241009,20241225
10009140.SH,易方达上证科创板50ETF期权2505认沽1.25,OP588080.SH,ETF期权,P,1.25,20250528,20250327,20250528
10006618.SH,易方达上证科创板50ETF期权2402认沽0.60,OP588080.SH,ETF期权,P,0.6,20240228,20240109,20240228
10005737.SH,易方达上证科创板50ETF期权2307认购0.80,OP588080.SH,ETF期权,C,0.8,20230726,20230710,20230726
10005738.SH,易方达上证科创板50ETF期权2307认沽0.80,OP588080.SH,ETF期权,P,0.8,20230726,20230710,20230726
10005739.SH,易方达上证科创板50ETF期权2308认购0.80,OP588080.SH,ETF期权,C,0.8,20230823,20230710,20230823
10005740.SH,易方达上证科创板50ETF期权2308认沽0.80,OP588080.SH,ETF期权,P,0.8,20230823,20230710,20230823
10005741.SH,易方达上证科创板50ETF期权2309认购0.80,OP588080.SH,ETF期权,C,0.8,20230927,20230710,20230927
10005742.SH,易方达上证科创板50ETF期权2309认沽0.80,OP588080.SH,ETF期权,P,0.8,20230927,20230710,20230927
10005743.SH,易方达上证科创板50ETF期权2312认购0.80,OP588080.SH,ETF期权,C,0.8,20231227,20230710,20231227
10005744.SH,易方达上证科创板50ETF期权2312认沽0.80,OP588080.SH,ETF期权,P,0.8,20231227,20230710,20231227
10006625.SH,易方达上证科创板50ETF期权2401认购0.55,OP588080.SH,ETF期权,C,0.55,20240124,20240118,20240124
10006163.SH,易方达上证科创板50ETF期权2312认购0.65,OP588080.SH,ETF期权,C,0.65,20231227,20231024,20231227
10006818.SH,易方达上证科创板50ETF期权2409认沽0.95,OP588080.SH,ETF期权,P,0.95,20240925,20240125,20240925
